ColumnName,MaxValue,IntegerDigits,FractionalDigits
ice_gsatotalacceptabledeb_assessed_existing_base,239160000,9,4
ice_valuationamount_existing,899290000,9,4
ice_gsatotalacceptabledeb_scaled,119580000,9,4
ice_valuationamount_existing_base,899290000,9,4
ice_gsatotalacceptabledeb_scaled_base,119580000,9,4
ice_gsatotalacceptabledeb_scaled_existing,119580000,9,4
ice_gsatotalacceptabledeb_scaled_existing_base,119580000,9,4
ice_gsatotalacceptablestock_assessed,270490893,9,4
ice_gsatotalacceptablestock_assessed_base,270490893,9,4
ice_gsatotalacceptablestock_assessed_existing,270490893,9,4
ice_gsatotalacceptablestock_assessed_existing_base,270490893,9,4
ice_gsatotalacceptablestock_scaled,135245446.5,9,4
ice_gsatotalacceptablestock_scaled_base,135245446.5,9,4
ice_gsatotalacceptablestock_scaled_existing,135245446.5,9,4
ice_gsatotalacceptablestock_scaled_existing_base,135245446.5,9,4
ice_gsatotalbookofvalueofdebtors,239160000,9,4
ice_gsatotalbookofvalueofdebtors_base,239160000,9,4
ice_gsatotalbookofvalueofdebtors_existing,239160000,9,4
ice_gsatotalbookofvalueofdebtors_existing_base,239160000,9,4
ice_gsatotalbookvalueofstock,271965248,9,4
ice_gsatotalbookvalueofstock_base,271965248,9,4
ice_gsatotalbookvalueofstock_existing,271965248,9,4
ice_gsatotalbookvalueofstock_existing_base,271965248,9,4
ice_gsatotalotherassets,234410550,9,4
ice_gsatotalotherassets_base,234410550,9,4
ice_gsatotalotherassets_existing,234410550,9,4
ice_gsatotalotherassets_existing_base,234410550,9,4
ice_gsaunencum_properties_assessed,292027000,9,4
ice_gsaunencum_properties_assessed_base,292027000,9,4
ice_gsaunencum_properties_assessed_existing,292027000,9,4
ice_gsaunencum_properties_assessed_existing_base,292027000,9,4
ice_gsaunencum_properties_scaled,146013500,9,4
ice_gsaunencum_properties_scaled_base,146013500,9,4
ice_gsaunencum_properties_scaled_existing,146013500,9,4
ice_gsaunencum_properties_scaled_existing_base,146013500,9,4
ice_gsaunencumreadilysaleab_assessed,442480000,9,4
ice_gsaunencumreadilysaleab_assessed_base,442480000,9,4
ice_gsaunencumreadilysaleab_assessed_existing,442480000,9,4
ice_gsaunencumreadilysaleab_assessed_existing_base,442480000,9,4
ice_gsaunencumreadilysaleab_scaled,110620000,9,4
ice_gsaunencumreadilysaleab_scaled_base,110620000,9,4
ice_gsaunencumreadilysaleab_scaled_existing,110620000,9,4
ice_gsaunencumreadilysaleab_scaled_existing_base,110620000,9,4
ice_gsaunencumvehiclesless3_assessed,172939000,9,4
ice_flexequipschedulelendingvalue,17000000,8,4
ice_flexequipschedulelendingvalue_base,17000000,8,4
ice_flexequipschedulelendingvalue_existing,14350000,8,4
ice_gsaintragroupdebtorsassocloans,75212000,8,4
ice_flexequipschedulelendingvalue_existing_base,14350000,8,4
ice_gsaintragroupdebtorsassocloans_base,75212000,8,4
ice_gsaunencumvehiclesless3_scaled,86469500,8,4
ice_gsacrops_assessed,13699000,8,4
ice_gsaintragroupdebtorsassocloans_existing,75212000,8,4
ice_gsaunencumvehiclesless3_scaled_base,86469500,8,4
ice_gsacrops_assessed_base,13699000,8,4
ice_gsaintragroupdebtorsassocloans_existing_base,75212000,8,4
ice_gsaunencumvehiclesless3_scaled_existing,86469500,8,4
ice_gsacrops_assessed_existing,13699000,8,4
ice_gsalivestock_totalassessed,72441164,8,4
ice_gsaunencumvehiclesless3_scaled_existing_base,86469500,8,4
ice_gsacrops_assessed_existing_base,13699000,8,4
ice_gsalivestock_totalassessed_base,72441164,8,4
ice_gsaworkinprogress,20057582,8,4
ice_gsalivestock_totalassessed_existing,72441164,8,4
ice_gsaworkinprogress_base,20057582,8,4
ice_gsalivestock_totalassessed_existing_base,72441164,8,4
ice_gsaworkinprogress_existing,20057582,8,4
ice_gsalivestock_totalscaled,43464698.4,8,4
ice_gsaworkinprogress_existing_base,20057582,8,4
ice_gsalivestock_totalscaled_base,43464698.4,8,4
ice_gsalivestock_totalscaled_existing,43464698.4,8,4
ice_gsalivestock_totalscaled_existing_base,43464698.4,8,4
ice_gsaold_obsolete_specialisedstock,31771446,8,4
ice_gsaold_obsolete_specialisedstock_base,31771446,8,4
ice_gsadeductgsttaxpayable,49921000,8,4
ice_gsaold_obsolete_specialisedstock_existing,31771446,8,4
ice_gsadeductgsttaxpayable_base,49921000,8,4
ice_gsaold_obsolete_specialisedstock_existing_base,31771446,8,4
ice_gsadeductgsttaxpayable_existing,49921000,8,4
ice_gsadeductgsttaxpayable_existing_base,49921000,8,4
ice_gsadeductline1,56822758,8,4
ice_gsadeductline1_base,56822758,8,4
ice_priorchargeamount_existing,31650000,8,4
ice_gsadeductline1_existing,56822758,8,4
ice_priorchargeamount_existing_base,31650000,8,4
ice_gsadeductline1_existing_base,56822758,8,4
ice_gsadeductline2,82402000,8,4
ice_gsadeductline2_base,82402000,8,4
ice_gsadeductline2_existing,82402000,8,4
ice_gsaoverseasdebtors,27877425,8,4
ice_gsadeductline2_existing_base,82402000,8,4
ice_gsaoverseasdebtors_base,27877425,8,4
ice_gsaoverseasdebtors_existing,27877425,8,4
ice_gsaoverseasdebtors_existing_base,27877425,8,4
ice_gsastocksubppsasecurityinterest_existing,38539000,8,4
ice_gsastocksubppsasecurityinterest_existing_base,38539000,8,4
ice_gsafonterrasharesreg_assessed,41631764.2,8,4
ice_gsafonterrasharesreg_assessed_base,41631764.2,8,4
ice_gsafonterrasharesreg_assessed_existing,41631764.2,8,4
ice_gsafonterrasharesreg_assessed_existing_base,41631764.2,8,4
ice_gsafonterrasharesreg_scaled,27060646.73,8,4
ice_gsafonterrasharesreg_scaled_base,27060646.73,8,4
ice_gsafonterrasharesreg_scaled_existing,27060646.73,8,4
ice_gsafonterrasharesreg_scaled_existing_base,27060646.73,8,4
ice_sbserv,31576500,8,2
ice_sbserv_existing,31576500,8,2
ice_gsacrops_scaled,5479600,7,4
ice_gsacrops_scaled_base,5479600,7,4
ice_gsacrops_scaled_existing,5479600,7,4
ice_gsacrops_scaled_existing_base,5479600,7,4
ice_gsadebtorsoutstanding90days,8189000,7,4
ice_gsadebtorsoutstanding90days_base,8189000,7,4
ice_gsadebtorsoutstanding90days_existing,8189000,7,4
ice_gsadebtorsoutstanding90days_existing_base,8189000,7,4
ice_gsafactoreddebtors,1186309,7,4
ice_gsafactoreddebtors_base,1186309,7,4
ice_gsafactoreddebtors_existing,1186309,7,4
ice_gsafactoreddebtors_existing_base,1186309,7,4
ice_gsafonterrasharesnotreg_assessed,7181978.7,7,4
ice_gsafonterrasharesnotreg_assessed_base,7181978.7,7,4
ice_gsafonterrasharesnotreg_assessed_existing,4713597.9,7,4
ice_gsafonterrasharesnotreg_assessed_existing_base,4713597.9,7,4
ice_gsafonterrasharesregdry_assessed,8256663.75,7,4
ice_gsafonterrasharesregdry_assessed_base,8256663.75,7,4
ice_gsafonterrasharesregdry_assessed_existing,8256663.75,7,4
ice_gsafonterrasharesregdry_assessed_existing_base,8256663.75,7,4
ice_gsafonterrasharesregdry_scaled,4128331.88,7,4
ice_gsafonterrasharesregdry_scaled_base,4128331.88,7,4
ice_gsafonterrasharesregdry_scaled_existing,4128331.88,7,4
ice_gsafonterrasharesregdry_scaled_existing_base,4128331.88,7,4
ice_gsaunencumfarmvehicles5_assessed,1859000,7,4
ice_gsaunencumfarmvehicles5_assessed_base,1859000,7,4
ice_gsaunencumfarmvehicles5_assessed_existing,103326,6,4
ice_gsaunencumfarmvehicles5_assessed_existing_base,103326,6,4
ice_gsaunencumfarmvehicles5_scaled,464750,6,4
ice_gsaunencumfarmvehicles5_scaled_base,464750,6,4
ice_gsaunencumtractors5_assessed,433463,6,4
ice_gsaunencumtractors5_assessed_base,433463,6,4
ice_gsaunencumtractors5_assessed_existing,117120,6,4
ice_gsaunencumtractors5_assessed_existing_base,117120,6,4
ice_gsaunencumtractors5_scaled,216731.5,6,4
ice_gsaunencumtractors5_scaled_base,216731.5,6,4
ice_gsaunencumfarmvehicles5_scaled_existing,25831.5,5,4
ice_gsaunencumfarmvehicles5_scaled_existing_base,25831.5,5,4
ice_gsaunencumtractors5_scaled_existing,58560,5,4
ice_gsaunencumtractors5_scaled_existing_base,58560,5,4
ice_ratingpercentage,200,3,2
ice_approvedgsatotalacceptablestocklvr,100,3,2
ice_approvedgstotalacceptabledebtorslvr,100,3,2
ice_approvedlendingvalueratio,100,3,2
ice_approvedlendingvalueratio_existing,100,3,2
ice_approvedotherassetslvr,100,3,2
ice_approvedunencumberedpropertiesbuildingslv,100,3,2
ice_approvedunencumberedreadilysaleablepelvr,100,3,2
ice_approvedunencumberedvehicles3yearsoldlvr,100,3,2
ice_gsaotherassets_lvr,100,3,2
ice_gsaotherassets_lvr_existing,100,3,2
ice_gsatotalacceptabledeb_lvr,100,3,2
ice_gsatotalacceptabledeb_lvr_existing,100,3,2
ice_gsatotalacceptablestock_lvr,100,3,2
ice_gsatotalacceptablestock_lvr_existing,100,3,2
ice_gsaunencum_properties_lvr,100,3,2
ice_gsaunencum_properties_lvr_existing,100,3,2
ice_gsaunencumreadilysaleab_lvr,100,3,2
ice_gsaunencumreadilysaleab_lvr_existing,100,3,2
ice_gsaunencumvehiclesless3_lvr,100,3,2
ice_gsaunencumvehiclesless3_lvr_existing,100,3,2
ice_lendingvalueratio,100,3,2
ice_lendingvalueratio_existing,100,3,2
ice_gsafonterrasharesreg_dollshare,56,2,4
ice_gsafonterrasharesreg_dollshare_base,56,2,4
ice_gsafonterrasharesregdrydollshare,10,2,4
ice_gsafonterrasharesregdrydollshare_base,10,2,4
ice_proposedmaxerv,97,2,2
ice_proposedmaxerv_existing,95.19,2,2
ice_shareholdingpercentage,99.99,2,2
ice_shareholdingpercentage_existing,99.99,2,2
ice_approvedmaxerv,97,2,2
ice_approvedmaxerv_existing,95.19,2,2
ice_defaultmaxerv,85,2,2
ice_defaultmaxerv_existing,85,2,2
ice_gsacrops_lvr,40,2,2
ice_gsacrops_lvr_existing,40,2,2
ice_gsafonterrasharesreg_lvr,65,2,2
ice_gsafonterrasharesreg_lvr_existing,65,2,2
ice_gsafonterrasharesregdry_lvr,50,2,2
ice_gsafonterrasharesregdry_lvr_existing,50,2,2
ice_gsaunencumfarmvehicles5_lvr,25,2,2
ice_gsaunencumfarmvehicles5_lvr_existing,25,2,2
ice_gsaunencumtractors5_lvr,50,2,2
ice_gsaunencumtractors5_lvr_existing,50,2,2
ice_lendingvalueratiodefault,85,2,2
ice_lendingvalueratiodefault_existing,85,2,2
ice_lendingvalueratiodefaultinitial,85,2,2
exchangerate,1,1,10
ice_gsafonterrasharesregdrydollshare_existing,5.98,1,4
ice_gsafonterrasharesregdrydollshare_existing_base,5.98,1,4
ice_gsafonterrasharenotreg_dollshare,6,1,4
ice_gsafonterrasharenotreg_dollshare_base,6,1,4
ice_gsafonterrasharenotreg_dollshare_existing,5.98,1,4
ice_gsafonterrasharenotreg_dollshare_existing_base,5.98,1,4
ice_gsafonterrasharesreg_dollshare_existing,5.98,1,4
ice_gsafonterrasharesreg_dollshare_existing_base,5.98,1,4
ice_suminsured,,,0
ice_suminsured_existing,,,0
ice_securityamountpriorityadjusted,,,0
ice_securityamountpriorityadjusted_base,,,0
ice_securityamountpriorityadjusted_existing,,,0
ice_securityamountpriorityadjusted_existing_base,,,0
